Time (UTC),Kind,Message,Detail
"2026-05-25T17:40:05.232Z","project.sub_session_unscheduled","Project sub-session unscheduled: M101 Project Session 1 (a9a609e6-0e7c-41e7-a1b0-857ae61105d7::night-1).","{""projectId"":""a9a609e6-0e7c-41e7-a1b0-857ae61105d7"",""nightSubId"":""a9a609e6-0e7c-41e7-a1b0-857ae61105d7::night-1"",""nightIndex"":1,""nightKey"":""2026-05-25"",""target"":""M101 Project"",""previousPlannedStartIso"":""2026-05-26T01:23:27.830Z"",""reason"":""Replaced by updated tonight sub-session plan.""}"
"2026-05-25T17:39:02.047Z","project.sub_session_unscheduled","Project sub-session unscheduled: M101 Project Session 1 (a9a609e6-0e7c-41e7-a1b0-857ae61105d7::night-1).","{""projectId"":""a9a609e6-0e7c-41e7-a1b0-857ae61105d7"",""nightSubId"":""a9a609e6-0e7c-41e7-a1b0-857ae61105d7::night-1"",""nightIndex"":1,""nightKey"":""2026-05-25"",""target"":""M101 Project"",""previousPlannedStartIso"":""2026-05-26T01:23:27.830Z"",""reason"":""Replaced by updated tonight sub-session plan.""}"
"2026-05-25T17:38:02.219Z","project.sub_session_unscheduled","Project sub-session unscheduled: M101 Project Session 1 (a9a609e6-0e7c-41e7-a1b0-857ae61105d7::night-1).","{""projectId"":""a9a609e6-0e7c-41e7-a1b0-857ae61105d7"",""nightSubId"":""a9a609e6-0e7c-41e7-a1b0-857ae61105d7::night-1"",""nightIndex"":1,""nightKey"":""2026-05-25"",""target"":""M101 Project"",""previousPlannedStartIso"":""2026-05-26T01:23:27.830Z"",""reason"":""Replaced by updated tonight sub-session plan.""}"
"2026-05-25T17:37:32.791Z","project.sub_session_unscheduled","Project sub-session unscheduled: M101 Project Session 1 (a9a609e6-0e7c-41e7-a1b0-857ae61105d7::night-1).","{""projectId"":""a9a609e6-0e7c-41e7-a1b0-857ae61105d7"",""nightSubId"":""a9a609e6-0e7c-41e7-a1b0-857ae61105d7::night-1"",""nightIndex"":1,""nightKey"":""2026-05-25"",""target"":""M101 Project"",""previousPlannedStartIso"":""2026-05-26T01:23:27.830Z"",""reason"":""Replaced by updated tonight sub-session plan.""}"
"2026-05-25T17:37:02.059Z","project.sub_session_unscheduled","Project sub-session unscheduled: M101 Project Session 1 (a9a609e6-0e7c-41e7-a1b0-857ae61105d7::night-1).","{""projectId"":""a9a609e6-0e7c-41e7-a1b0-857ae61105d7"",""nightSubId"":""a9a609e6-0e7c-41e7-a1b0-857ae61105d7::night-1"",""nightIndex"":1,""nightKey"":""2026-05-25"",""target"":""M101 Project"",""previousPlannedStartIso"":""2026-05-26T01:23:27.830Z"",""reason"":""Replaced by updated tonight sub-session plan.""}"
"2026-05-25T17:36:02.213Z","project.sub_session_unscheduled","Project sub-session unscheduled: M101 Project Session 1 (a9a609e6-0e7c-41e7-a1b0-857ae61105d7::night-1).","{""projectId"":""a9a609e6-0e7c-41e7-a1b0-857ae61105d7"",""nightSubId"":""a9a609e6-0e7c-41e7-a1b0-857ae61105d7::night-1"",""nightIndex"":1,""nightKey"":""2026-05-25"",""target"":""M101 Project"",""previousPlannedStartIso"":""2026-05-26T01:23:27.830Z"",""reason"":""Replaced by updated tonight sub-session plan.""}"
"2026-05-25T17:35:39.572Z","project.sub_session_unscheduled","Project sub-session unscheduled: M101 Project Session 1 (a9a609e6-0e7c-41e7-a1b0-857ae61105d7::night-1).","{""projectId"":""a9a609e6-0e7c-41e7-a1b0-857ae61105d7"",""nightSubId"":""a9a609e6-0e7c-41e7-a1b0-857ae61105d7::night-1"",""nightIndex"":1,""nightKey"":""2026-05-25"",""target"":""M101 Project"",""previousPlannedStartIso"":""2026-05-26T01:23:27.830Z"",""reason"":""Replaced by updated tonight sub-session plan.""}"
"2026-05-25T17:35:02.089Z","project.sub_session_unscheduled","Project sub-session unscheduled: M101 Project Session 1 (a9a609e6-0e7c-41e7-a1b0-857ae61105d7::night-1).","{""projectId"":""a9a609e6-0e7c-41e7-a1b0-857ae61105d7"",""nightSubId"":""a9a609e6-0e7c-41e7-a1b0-857ae61105d7::night-1"",""nightIndex"":1,""nightKey"":""2026-05-25"",""target"":""M101 Project"",""previousPlannedStartIso"":""2026-05-26T01:23:27.830Z"",""reason"":""Replaced by updated tonight sub-session plan.""}"
"2026-05-25T17:34:02.457Z","project.sub_session_unscheduled","Project sub-session unscheduled: M101 Project Session 1 (a9a609e6-0e7c-41e7-a1b0-857ae61105d7::night-1).","{""projectId"":""a9a609e6-0e7c-41e7-a1b0-857ae61105d7"",""nightSubId"":""a9a609e6-0e7c-41e7-a1b0-857ae61105d7::night-1"",""nightIndex"":1,""nightKey"":""2026-05-25"",""target"":""M101 Project"",""previousPlannedStartIso"":""2026-05-26T01:23:27.830Z"",""reason"":""Replaced by updated tonight sub-session plan.""}"
"2026-05-25T17:33:52.855Z","project.sub_session_unscheduled","Project sub-session unscheduled: M101 Project Session 1 (a9a609e6-0e7c-41e7-a1b0-857ae61105d7::night-1).","{""projectId"":""a9a609e6-0e7c-41e7-a1b0-857ae61105d7"",""nightSubId"":""a9a609e6-0e7c-41e7-a1b0-857ae61105d7::night-1"",""nightIndex"":1,""nightKey"":""2026-05-25"",""target"":""M101 Project"",""previousPlannedStartIso"":""2026-05-26T01:23:27.830Z"",""reason"":""Replaced by updated tonight sub-session plan.""}"
