"Star Name","RA (J2000.0)","Dec (J2000.0)","Var. Type","Min Mag","Max Mag","Period (d)","High Priority","Categories"
"NSV 18551","10h 55m 13.0s","+77d 05m 15.4s","VAR","6.8 V","6.8 V","0.08581","","short_period"
"NSV 19057","11h 57m 58.3s","+81d 15m 50.4s","VAR","9.4 V","9.3 V","177.61989","","long_period"
"NSV 19714","13h 17m 37.4s","+71d 14m 48.0s","PULS","7.8 V","7.8 V","0.2297","","short_period"
"NSV 1988","05h 27m 44.4s","+38d 58m 50.6s","SRC","10.1 V","9.7 V","","","type_src"
"NSV 20266","15h 09m 6.3s","+69d 39m 12.0s","PULS","7.1 V","7.1 V","0.09514","","short_period"
"NSV 20874","16h 54m 58.0s","+74d 28m 32.2s","L","7.6 V","7.5 V","","","type_lc"
"NSV 24445","18h 25m 10.1s","+64d 50m 18.2s","VAR","7.0 V","7.0 V","0.08828","","short_period"
"NSV 25779","21h 52m 0.4s","+55d 47m 31.1s","ACV","6.7 V","6.6 V","2.90555","","type_cv"
"NSV 25849","22h 10m 10.3s","+56d 05m 2.0s","ACV:","7.0 V","6.9 V","5.673","","type_cv"
"NSV 25855","22h 11m 35.6s","+55d 16m 4.4s","SRC","9.3 V","8.6 V","","","type_src"
"NSV 25875","22h 19m 27.5s","+59d 51m 21.7s","M:","6.5 V","4.6 V","","","type_m"
"NSV 26103","23h 33m 55.5s","+20d 50m 27.5s","SR","6.1 V","6.1 V","","","type_m"
"NSV 317","00h 50m 43.6s","+64d 14m 51.3s","EB","5.4 V","5.3 V","1.9165","","type_ea"
"NSV 319","00h 51m 16.4s","+61d 48m 19.8s","LC","6.1 V","6.0 V","","","type_lc"
"NSV 4344","09h 02m 32.7s","+67d 37m 46.6s","LB","4.8 V","4.7 V","","","type_lc"
"NSV 6254","13h 26m 8.1s","+72d 23m 29.3s","LB","5.8 V","5.8 V","","","type_lc"
"NSV 6593","14h 12m 4.0s","+69d 25m 57.0s","VAR","5.2 V","5.2 V","4.43184","yes","mid_period"
"NSV 985","02h 56m 24.7s","+64d 19m 56.8s","LC","6.3 V","6.2 V","","","type_lc"
"NSVS 1081882","16h 48m 49.6s","+69d 51m 28.7s","RRC","13.3 V","12.8 V","0.2809015","","type_rr"
"NSVS 1439692","23h 33m 59.2s","+76d 48m 54.7s","RR","10.7 V","10.4 V","0.61334328","","type_rr"
"NSVS 2342782","06h 48m 35.9s","+66d 39m 13.8s","CEP","11.0 V","10.7 V","15.30824325","","type_cep"
"NSVS 241630","01h 26m 3.8s","+69d 06m 34.7s","CEP","8.8 V","8.6 V","24.96151492","","type_cep"
"NSVS 2691589","13h 10m 9.2s","+61d 22m 5.7s","CEP","12.0 V","11.6 V","4.6415318","","type_cep"
"NSVS 2999671","18h 25m 25.8s","+62d 56m 24.1s","EB|EA","9.8 V","9.2 V","1.09920594","","type_ea"
"NSVS 3068415","19h 20m 42.8s","+57d 33m 9.7s","SR","9.4 V","8.8 V","","","type_m"
"NSVS 3078943","19h 34m 23.0s","+57d 50m 55.6s","CEP","11.5 V","11.2 V","21.69247847","","type_cep"
"NSVS 3127757","19h 39m 54.4s","+67d 54m 33.0s","RR","9.8 V","9.6 V","0.39336813","","type_rr"
"NSVS 517188","04h 02m 24.4s","+72d 08m 1.2s","CEP","10.2 V","9.9 V","52.04576348","","type_cep"
"NSVS 5725819","20h 18m 51.4s","+45d 21m 31.4s","RR","10.1 V","9.8 V","0.60556979","","type_rr"
"NSVS 658943","06h 09m 24.5s","+74d 22m 7.9s","LPV|CEP","9.3 V","9.1 V","13.56993602","","type_cep"
"NSVS 66874","02h 33m 8.2s","+84d 55m 21.7s","SR","9.8 V","9.6 V","36.6","","type_m"
"NSVS 693875","08h 13m 11.6s","+69d 10m 35.9s","RR","12.2 V","12.0 V","0.21034887","","type_rr"
"NSVS 698810","08h 46m 53.1s","+72d 23m 57.8s","RRAB","13.0 V","12.6 V","0.487238","","type_rr"
"NSVS 728956","09h 22m 7.5s","+77d 11m 47.0s","CEP","13.4 V","13.1 V","17.54403","","type_cep"
"NSVS 949798","13h 21m 28.7s","+82d 53m 33.1s","RR","12.2 V","11.9 V","0.58702059","","type_rr"
"NSVS 957925","13h 02m 51.0s","+68d 27m 52.6s","LPV|CEP","12.2 V","12.0 V","14.37889655","","type_cep"
"NSVS J0808106+715528","08h 08m 10.6s","+71d 55m 27.8s","MISC","8.8 V","8.3 V","133","","long_period"
"NSVS J0937339+695843","09h 37m 33.9s","+69d 58m 42.6s","L:","10.3 V","9.7 V","177","","long_period"
"NSVS J1011171+773254","10h 11m 17.1s","+77d 32m 53.9s","L:","10.0 V","9.6 V","226","","long_period"
"NSVS J1252503+713418","12h 52m 50.3s","+71d 34m 17.7s","MISC","8.9 V","8.3 V","133","","long_period"
"NSVS J1449521+782105","14h 49m 52.1s","+78d 21m 5.3s","L:","10.6 V","10.1 V","730","","long_period"
"NSVS J1500400+763638","15h 00m 40.0s","+76d 36m 38.0s","L:","11.3 V","10.6 V","588","","long_period"
"NSVS J1547061+711845","15h 47m 6.1s","+71d 18m 45.5s","L:","9.2 V","8.7 V","433","","long_period"
"NSVS J1615081+721056","16h 15m 8.1s","+72d 10m 56.3s","L:","9.6 V","9.1 V","80","","type_lc"
"NSVS J1618121+704508","16h 18m 12.1s","+70d 45m 8.0s","L:","9.5 V","9.2 V","309","","long_period"
"NSVS J1732304+755921","17h 32m 30.4s","+75d 59m 21.1s","L:","9.2 V","8.6 V","364","","long_period"
"NSVS J1736135+715243","17h 36m 13.4s","+71d 52m 42.1s","MISC","8.9 V","8.4 V","730","","long_period"
"nu. Cep","21h 45m 26.9s","+61d 07m 14.9s","ACYG","4.3 V","4.3 V","90","","mid_period"
"NY Dra","11h 35m 10.4s","+75d 05m 46.8s","SR","11.5 V","11.1 V","45.3","","type_m"
"ome Dra","17h 36m 57.1s","+68d 45m 28.7s","ROT","4.8 V","4.8 V","5.302","yes","mid_period"
